,old_PUC,Category,Product,Refined,description,type,fHands,fBody,sum_f,fRinseH,fwipeH,sum_H,fRinseB,fWipeB,Sum_B,fRinseS,fWipeS,Sum_S,AllHands,new_PUC
145,P.IH.340.999,inside the home,surface cleaner,NOC,hard surface and kitchen surface cleaners,SIS,0.95,0.05,1,0.99,0,0.99,0.99,0,0.99,0.48,0.48,0.96,NA,CP.0700.040.099.F
146,P.IH.350.000,inside the home,upholstery cleaner,,upholstery fabric cleaners,SIS,0.95,0.05,1,0.99,0,0.99,0.99,0,0.99,0.35,0.35,0.7,NA,CP.1700.010.099.F
147,P.IH.360.029,inside the home,wood polish,spray,wood or furniture dusting or polishing products (spray or aerosol formulation specified),SIS,0.95,0.05,1,0.99,0,0.99,0.99,0,0.99,0,0.97,0.97,NA,CP.1800.010.050.F
148,P.IH.360.999,inside the home,wood polish,NOC,wood or furniture dusting or polishing products,LIS,1,0,1,0.99,0,0.99,0.99,0,0.99,0,0.97,0.97,NA,CP.1800.010.099.F
149,P.LY.010.005,landscape/yard,cleaner,exterior,"exterior surface (e.g. deck, house, driveway) cleaners",LOS,0.9,0.1,1,0.99,0,0.99,0.99,0,0.99,0.97,0,0.97,NA,LY.0100.010.040.F
150,P.LY.020.000,landscape/yard,garden care,,miscellaneous garden care products not otherwise characterized (e.g. rooting powders),DOS,0.9,0.1,1,0.99,0,0.99,0.99,0,0.99,0,0,0,NA,LY.0600.010.099.F
151,P.LY.030.000,landscape/yard,garden fertilizer,,"fertilizers for vegetable or flower gardens, including in combination with pest/weed controllers",DOS,0.9,0.1,1,0.99,0,0.99,0.99,0,0.99,0,0,0,NA,LY.0600.020.099.F
152,P.LY.040.000,landscape/yard,grill/camping fuel,,"grill, lantern and camping stove fuels, including briquets",LAP,1,0,1,0.99,0,0.99,0.99,0,0.99,0,0,0,NA,LY.0200.010.099.F
153,P.LY.050.029,landscape/yard,herbicide,spray,"herbicides, weed killers, and brush killers (spray or aerosol formulation specified)",SOS,0.95,0.05,1,0.99,0,0.99,0.99,0,0.99,0,0,0,NA,LY.0300.010.050.F
154,P.LY.050.999,landscape/yard,herbicide,NOC,"herbicides, weed killers, and brush killers",LOS,1,0,1,0.99,0,0.99,0.99,0,0.99,0,0,0,NA,LY.0300.010.099.F
155,P.LY.060.000,landscape/yard,lawn fertilizer,,"fertilizers for lawns, including in combination with pest/weed controllers",DOS,0.9,0.1,1,0.99,0,0.99,0.99,0,0.99,0,0,0,NA,LY.0400.010.099.F
156,P.LY.070.000,landscape/yard,lawnmower fluids,,oils and other fluids for lawnmowers or other small yard care equipment,LAP,1,0,1,0.99,0,0.99,0.99,0,0.99,0,0,0,NA,LY.0500.010.099.F
157,P.LY.080.000,landscape/yard,mulch,,"mulches, including those with weed controllers",DOS,0.9,0.1,1,0.99,0,0.99,0.99,0,0.99,0,0,0,NA,LY.0600.030.099.F
158,P.LY.090.002,landscape/yard,pool chemicals,algaecide,"algaecidal products for pools, hot tubs, and spas",XXX,NA,NA,0,0.99,0,0.99,0.99,0,0.99,1,0,1,NA,LY.0700.010.030.F
